sdk,feature,version
js-client-sdk,appConfig,2.22
node-client-sdk,appConfig,3.0
react-native,appConfig,7.0
react-client-sdk,appConfig,2.26
electron,bigSegments,All
js-client-sdk,bigSegments,All
node-client-sdk,bigSegments,All
react-native,bigSegments,All
react-client-sdk,bigSegments,All
electron,bootstrapping,1.0
js-client-sdk,bootstrapping,2.5
node-client-sdk,bootstrapping,1.0
react-client-sdk,bootstrapping,2.9.5
electron,contexts,
js-client-sdk,contexts,3.0
node-client-sdk,contexts,3.0
react-native,contexts,7.0
react-client-sdk,contexts,3.0
vue,contexts,
electron,experimentation,1.0
js-client-sdk,experimentation,2.6
node-client-sdk,experimentation,1.0
react-native,experimentation,5.0
react-client-sdk,experimentation,1.0
vue,experimentation,1.0
electron,flagChanges,1.5.7
js-client-sdk,flagChanges,2.72
node-client-sdk,flagChanges,2.0
react-native,flagChanges,4.1.2
react-client-sdk,flagChanges,2.21
vue,flagChanges,1.0
electron,allFlags,1.0
js-client-sdk,allFlags,1.0
node-client-sdk,allFlags,1.0
react-native,allFlags,5.0.1
react-client-sdk,allFlags,2.9
electron,multiEnv,
react-native,multiEnv,4.2.0
electron,offlineMode,
react-native,offlineMode,1.0
electron,privateAttrs,1.0.1
js-client-sdk,privateAttrs,2.9.4
node-client-sdk,privateAttrs,1.0
react-native,privateAttrs,4.0
react-client-sdk,privateAttrs,2.9
vue,privateAttrs,1.0
electron,relayProxyProxy,1.5.6
js-client-sdk,relayProxyProxy,1.0
node-client-sdk,relayProxyProxy,1.0
react-native,relayProxyProxy,1.0
react-client-sdk,relayProxyProxy,2.20.2
electron,secureMode,1.5
js-client-sdk,secureMode,2.17
node-client-sdk,secureMode,1.4
react-client-sdk,secureMode,2.18
electron,sendingCustomEvents,1.1.4
js-client-sdk,sendingCustomEvents,1.6.2
node-client-sdk,sendingCustomEvents,1.0
react-native,sendingCustomEvents,1.0
electron,flagChanges,1.0
js-client-sdk,flagChanges,1.0
node-client-sdk,flagChanges,1.0
react-native,flagChanges,1.0
react-client-sdk,flagChanges,2.9
