sdk,feature,version
dotnet-client-sdk,appConfig,3.1
android,appConfig,3.6 (users), 4.2 (contexts)
cpp-client-sdk,appConfig,3.0
flutter-client-sdk,appConfig,1.3
ios,appConfig,8.0
roku,appConfig,1.3
dotnet-client-sdk,automaticEnvironmentAttrs,4.0
android,automaticEnvironmentAttrs,5.0
cpp-client-sdk,bigSegments,All
flutter-client-sdk,bigSegments,All
ios,bigSegments,All
roku,bigSegments,All
dotnet-client-sdk,contexts,3.0
android,contexts,4.0
cpp-client-sdk,contexts,3.0
flutter-client-sdk,contexts,2.0
ios,contexts,8.0
roku,contexts,2.0
dotnet-client-sdk,experimentation,2.0
android,experimentation,3.1
cpp-client-sdk,experimentation,2.4.8
flutter-client-sdk,experimentation,0.2.0
ios,experimentation,1.0
roku,experimentation,1.0
dotnet-client-sdk,flagEvaluationReasons,1.2
android,flagEvaluationReasons,2.7
cpp-client-sdk,flagEvaluationReasons,1.0
flutter-client-sdk,flagEvaluationReasons,1.0
ios,flagEvaluationReasons,4.3
roku,flagEvaluationReasons,1.0
dotnet-client-sdk,gettingAllFlags,1.0
android,gettingAllFlags,2.8
cpp-client-sdk,gettingAllFlags,1.0
flutter-client-sdk,gettingAllFlags,1.0
ios,gettingAllFlags,1.0
roku,gettingAllFlags,1.0
android,multipleEnvironments,2.6
ios,multipleEnvironments,5.3.1
dotnet-client-sdk,offlineMode,1.0
android,offlineMode,1.0
ios,offlineMode,1.0
roku,offlineMode,
dotnet-client-sdk,privateAttrs,1.0
android,privateAttrs,2.2
cpp-client-sdk,privateAttrs,1.0
flutter-client-sdk,privateAttrs,1.0
ios,privateAttrs,2.10
roku,privateAttrs,1.0
dotnet-client-sdk,relayProxyProxy,1.0
android,relayProxyProxy,1.0
cpp-client-sdk,relayProxyProxy,1.0
flutter-client-sdk,relayProxyProxy,1.0
ios,relayProxyProxy,1.0
roku,relayProxyProxy,1.0
dotnet-client-sdk,subscribingToFlagChanges,2.0
android,subscribingToFlagChanges,1.0
cpp-client-sdk,subscribingToFlagChanges,1.0
flutter-client-sdk,subscribingToFlagChanges,1.0
ios,subscribingToFlagChanges,1.0
roku,subscribingToFlagChanges,
dotnet-client-sdk,testDataSources,1.0
dotnet-client-sdk,webProxy,1.0
